id,category,category,category,category,category
4487,physics,,physics,physics,physics
4488,cs,,cs,cs,cs
4489,stat,,stat,stat,stat
4490,cs,,cs,cs,cs
4491,cs,,cs,cs,cs
4492,cs,,cs,cs,cs
4493,physics,,physics,physics,physics
4494,cs,,cs,cs,cs
4495,cs,,cs,cs,cs
4496,physics,,physics,physics,physics
4497,cs,,cs,cs,cs
4498,math,,math,math,math
4499,physics,,physics,physics,physics
4500,cs,,cs,cs,cs
4501,physics,,stat,cs,physics
4502,physics,,physics,physics,physics
4503,stat,,stat,stat,stat
4504,physics,,cs,cs,cs
4505,cs,,cs,cs,physics
4506,physics,,physics,physics,physics
4507,stat,,stat,stat,stat
4508,physics,,physics,physics,physics
4509,cs,,cs,cs,cs
4510,cs,,cs,cs,cs
4511,physics,,stat,physics,physics
4512,physics,,physics,physics,physics
4513,math,,math,math,math
4514,cs,,cs,cs,cs
4515,cs,,cs,cs,cs
4516,stat,,stat,stat,stat
4517,physics,,physics,physics,physics
4518,math,,math,math,math
4519,math,,cs,cs,cs
4520,physics,,physics,physics,physics
4521,cs,,cs,cs,cs
4522,physics,,physics,physics,physics
4523,math,,math,math,math
4524,cs,,cs,cs,cs
4525,physics,,physics,physics,physics
4526,physics,,physics,physics,physics
4527,cs,,cs,cs,cs
4528,math,,math,math,math
4529,stat,,stat,stat,stat
4530,cs,,cs,cs,cs
4531,math,,math,math,math
4532,cs,,cs,cs,cs
4533,math,,math,math,math
4534,math,,math,math,math
4535,physics,,physics,physics,physics
4536,stat,,stat,stat,stat
4537,stat,,stat,stat,stat
4538,cs,,cs,cs,cs
4539,cs,,cs,cs,cs
4540,stat,,stat,stat,stat
4541,math,,math,math,math
4542,cs,,cs,cs,cs
4543,math,,math,math,cs
4544,cs,,cs,cs,cs
4545,stat,,stat,stat,stat
4546,math,,math,math,math
4547,math,,physics,physics,math
4548,math,,math,math,math
4549,cs,,cs,cs,cs
4550,math,,math,math,math
4551,cs,,cs,cs,cs
4552,math,,math,math,math
4553,cs,,cs,cs,cs
4554,math,,math,math,math
4555,math,,math,math,math
4556,math,,math,math,math
4557,cs,,cs,cs,cs
4558,math,,math,cs,math
4559,cs,,cs,cs,cs
4560,math,,math,math,math
4561,math,,math,math,cs
4562,cs,,cs,cs,cs
4563,stat,,stat,stat,stat
4564,physics,,physics,physics,physics
4565,physics,,physics,physics,physics
4566,physics,,physics,physics,physics
4567,stat,,stat,stat,stat
4568,stat,,stat,stat,stat
4569,math,,math,math,math
4570,math,,math,math,math
4571,cs,,math,cs,math
4572,math,,math,math,math
4573,stat,,stat,stat,stat
4574,stat,,math,math,math
4575,math,,math,math,math
4576,cs,,cs,cs,cs
4577,stat,,stat,stat,stat
4578,math,,math,math,math
4579,math,,math,math,math
4580,cs,,cs,cs,cs
4581,physics,,physics,physics,physics
4582,physics,,physics,physics,physics
4583,math,,math,math,math
4584,cs,,cs,cs,cs
4585,cs,,stat,cs,cs
4586,cs,,cs,cs,cs
4587,cs,,cs,cs,cs
4588,cs,,cs,cs,cs
4589,math,,math,math,math
4590,physics,,cs,physics,cs
4591,cs,,cs,stat,cs
4592,stat,,stat,stat,stat
4593,math,,math,math,math
4594,math,,cs,cs,math
4595,cs,,stat,stat,cs
4596,physics,,physics,physics,physics
4597,math,,math,cs,cs
4598,cs,,cs,cs,cs
4599,cs,,stat,cs,cs
4600,cs,,cs,cs,cs
4601,stat,,stat,stat,stat
4602,cs,,stat,stat,stat
4603,physics,,physics,physics,physics
4604,cs,,stat,cs,cs
4605,cs,,stat,cs,cs
4606,physics,,physics,physics,physics
4607,cs,,math,math,math
4608,cs,,cs,cs,cs
4609,cs,,cs,cs,cs
4610,math,,math,cs,math
4611,physics,,physics,physics,physics
4612,cs,,cs,cs,cs
4613,math,,math,math,math
4614,math,,math,math,math
4615,math,,math,math,math
4616,math,,math,math,math
4617,math,,math,math,math
4618,math,,math,math,math
4619,cs,,cs,cs,cs
4620,cs,,stat,physics,physics
4621,cs,,cs,cs,cs
4622,math,,math,math,math
4623,stat,,stat,cs,stat
4624,cs,,cs,stat,cs
4625,cs,,cs,cs,cs
4626,cs,,cs,stat,cs
4627,math,,math,math,math
4628,stat,,stat,stat,stat
4629,math,,math,math,math
4630,math,,math,math,math
4631,stat,,stat,stat,stat
4632,math,,math,math,math
4633,math,,math,math,math
4634,cs,,cs,cs,cs
4635,math,,math,math,math
4636,cs,,cs,cs,cs
4637,cs,,cs,cs,cs
4638,physics,,physics,physics,physics
4639,physics,,physics,physics,physics
4640,math,,math,math,math
4641,cs,,cs,cs,cs
4642,cs,,cs,cs,cs
4643,physics,,physics,physics,physics
4644,physics,,cs,cs,cs
4645,cs,,cs,cs,cs
4646,cs,,cs,cs,cs
4647,physics,,physics,physics,physics
4648,cs,,cs,cs,cs
4649,cs,,cs,cs,cs
4650,math,,math,math,math
4651,stat,,stat,stat,stat
4652,math,,math,math,math
4653,math,,math,math,math
4654,physics,,physics,physics,physics
4655,math,,math,math,math
4656,math,,math,math,math
4657,math,,math,math,math
4658,cs,,cs,cs,cs
4659,cs,,stat,cs,stat
4660,stat,,cs,math,math
4661,cs,,cs,cs,cs
4662,cs,,cs,cs,cs
4663,physics,,cs,cs,physics
4664,math,,math,math,math
4665,math,,math,math,math
4666,stat,,stat,cs,stat
4667,math,,math,math,math
4668,cs,,cs,cs,cs
4669,math,,math,math,math
4670,math,,math,math,math
4671,math,,math,math,math
4672,math,,math,math,math
4673,physics,,physics,physics,physics
4674,stat,,stat,stat,stat
4675,stat,,cs,cs,cs
4676,math,,cs,math,math
4677,cs,,cs,cs,cs
4678,physics,,physics,physics,physics
4679,physics,,physics,physics,physics
4680,math,,math,math,math
4681,physics,,stat,physics,physics
4682,physics,,physics,physics,physics
4683,stat,,stat,math,math
4684,physics,,physics,physics,physics
4685,stat,,stat,stat,stat
4686,math,,math,math,math
4687,math,,math,math,math
4688,math,,math,math,math
4689,stat,,stat,cs,stat
4690,stat,,stat,stat,stat
4691,stat,,cs,cs,cs
4692,math,,math,math,math
4693,cs,,cs,cs,cs
4694,physics,,physics,physics,physics
4695,stat,,stat,cs,stat
4696,physics,,physics,physics,physics
4697,math,,math,math,math
4698,physics,,physics,physics,physics
4699,physics,,physics,physics,physics
4700,physics,,math,physics,physics
4701,cs,,math,cs,cs
4702,cs,,cs,cs,cs
4703,math,,math,math,math
4704,physics,,physics,physics,physics
4705,stat,,stat,stat,stat
4706,cs,,stat,cs,cs
4707,stat,,stat,cs,stat
4708,stat,,stat,stat,stat
4709,stat,,cs,cs,cs
4710,physics,,physics,physics,physics
4711,math,,math,math,math
4712,cs,,math,math,cs
4713,physics,,physics,physics,physics
4714,stat,,stat,stat,stat
4715,stat,,stat,stat,stat
4716,stat,,stat,stat,stat
4717,cs,,stat,cs,stat
4718,cs,,stat,cs,cs
4719,physics,,physics,physics,physics
4720,cs,,math,math,math
4721,stat,,stat,cs,stat
4722,stat,,stat,cs,cs
4723,physics,,physics,physics,physics
4724,cs,,cs,cs,cs
4725,stat,,stat,stat,stat
4726,physics,,physics,math,physics
4727,physics,,physics,physics,physics
4728,physics,,physics,physics,physics
4729,math,,math,math,math
4730,physics,,physics,physics,physics
4731,math,,math,math,math
4732,math,,math,math,math
4733,cs,,cs,cs,cs
4734,cs,,cs,cs,cs
4735,math,,math,math,math
4736,physics,,physics,physics,physics
4737,physics,,physics,physics,physics
4738,math,,math,stat,math
4739,cs,,cs,cs,cs
4740,stat,,stat,cs,stat
4741,cs,,math,math,cs
4742,cs,,cs,cs,cs
4743,stat,,math,math,stat
4744,stat,,stat,stat,stat
4745,cs,,cs,cs,cs
4746,math,,math,math,math
4747,cs,,cs,cs,cs
4748,cs,,cs,cs,cs
4749,physics,,physics,physics,physics
4750,cs,,cs,cs,cs
4751,physics,,physics,physics,physics
4752,cs,,stat,cs,cs
4753,stat,,cs,cs,cs
4754,stat,,stat,stat,stat
4755,math,,math,math,math
4756,math,,math,math,math
4757,cs,,cs,cs,cs
4758,stat,,stat,stat,cs
4759,cs,,cs,cs,cs
4760,math,,math,math,math
4761,cs,,cs,physics,cs
4762,physics,,physics,physics,physics
4763,physics,,physics,physics,physics
4764,physics,,physics,cs,physics
4765,physics,,physics,physics,physics
4766,cs,,cs,cs,cs
4767,physics,,physics,physics,physics
4768,physics,,physics,physics,physics
4769,physics,,physics,physics,physics
4770,physics,,physics,physics,physics
4771,cs,,cs,cs,cs
4772,math,,math,math,math
4773,math,,math,cs,math
4774,cs,,cs,cs,cs
4775,stat,,stat,cs,stat
4776,physics,,physics,physics,physics
4777,physics,,physics,physics,physics
4778,physics,,physics,physics,physics
4779,math,,math,math,math
4780,stat,,math,math,stat
4781,cs,,cs,physics,cs
4782,physics,,physics,physics,physics
4783,cs,,cs,math,cs
4784,cs,,cs,cs,cs
4785,stat,,math,math,math
4786,physics,,physics,physics,physics
4787,cs,,cs,cs,cs
4788,cs,,cs,cs,cs
4789,cs,,cs,cs,cs
4790,cs,,cs,cs,cs
4791,cs,,cs,cs,cs
4792,math,,math,math,math
4793,cs,,cs,cs,cs
4794,cs,,cs,cs,cs
4795,math,,math,math,math
4796,cs,,cs,cs,cs
4797,physics,,physics,physics,physics
4798,cs,,cs,cs,cs
4799,math,,math,math,math
4800,cs,,stat,cs,cs
4801,physics,,physics,physics,physics
4802,stat,,stat,stat,stat
4803,physics,,physics,physics,physics
4804,cs,,stat,cs,cs
4805,math,,math,math,math
4806,cs,,math,cs,math
4807,physics,,physics,physics,physics
4808,physics,,physics,physics,physics
4809,cs,,cs,cs,cs
4810,physics,,physics,physics,physics
4811,math,,math,math,math
4812,math,,math,math,math
4813,cs,,cs,cs,cs
4814,cs,,cs,cs,cs
4815,stat,,stat,stat,stat
4816,cs,,cs,cs,cs
4817,math,,math,math,math
4818,math,,math,math,math
4819,math,,math,math,math
4820,math,,math,math,math
4821,cs,,cs,cs,cs
4822,physics,,physics,physics,physics
4823,cs,,cs,cs,cs
4824,math,,math,math,math
4825,stat,,math,math,math
4826,stat,,cs,cs,cs
4827,math,,math,cs,cs
4828,math,,math,math,math
4829,cs,,cs,cs,cs
4830,physics,,stat,physics,physics
4831,math,,math,physics,math
4832,cs,,stat,math,math
4833,math,,math,math,math
4834,stat,,stat,stat,stat
4835,physics,,physics,physics,physics
4836,physics,,physics,physics,physics
4837,stat,,stat,cs,stat
4838,physics,,cs,cs,cs
4839,math,,math,math,math
4840,cs,,cs,cs,cs
4841,cs,,stat,cs,physics
4842,stat,,math,math,math
4843,physics,,physics,physics,physics
4844,math,,math,math,math
4845,cs,,cs,cs,cs
4846,cs,,cs,cs,cs
4847,math,,math,math,math
4848,math,,math,math,math
4849,stat,,stat,stat,stat
4850,physics,,physics,physics,physics
4851,cs,,cs,cs,cs
4852,math,,math,math,math
4853,cs,,cs,cs,cs
4854,cs,,cs,cs,cs
4855,math,,math,math,math
4856,stat,,cs,cs,stat
4857,cs,,cs,cs,cs
4858,math,,math,math,math
4859,math,,math,math,math
4860,cs,,cs,cs,cs
4861,physics,,stat,stat,physics
4862,cs,,cs,cs,cs
4863,math,,math,stat,math
4864,math,,math,math,math
4865,physics,,physics,physics,physics
4866,cs,,stat,cs,cs
4867,physics,,physics,physics,physics
4868,physics,,physics,physics,physics
4869,math,,math,math,math
4870,physics,,physics,physics,physics
4871,cs,,cs,cs,cs
4872,math,,math,math,math
4873,physics,,physics,physics,physics
4874,math,,math,math,math
4875,math,,math,math,math
4876,physics,,physics,physics,physics
4877,physics,,physics,physics,physics
4878,math,,math,math,math
4879,math,,math,math,math
4880,physics,,physics,physics,physics
4881,cs,,stat,cs,cs
4882,cs,,cs,cs,cs
4883,stat,,stat,cs,stat
4884,physics,,physics,physics,physics
4885,physics,,cs,math,physics
4886,stat,,stat,cs,stat
4887,cs,,stat,cs,cs
4888,stat,,stat,stat,stat
4889,math,,math,math,math
4890,math,,math,math,math
4891,physics,,physics,physics,physics
4892,cs,,cs,cs,cs
4893,physics,,stat,cs,cs
4894,physics,,physics,physics,physics
4895,math,,math,math,math
4896,physics,,physics,physics,physics
4897,cs,,stat,cs,cs
4898,math,,math,math,math
4899,physics,,physics,physics,physics
4900,stat,,stat,stat,stat
4901,cs,,cs,cs,cs
4902,math,,math,math,math
4903,physics,,physics,physics,physics
4904,cs,,cs,cs,cs
4905,physics,,physics,physics,physics
4906,stat,,stat,stat,stat
4907,cs,,cs,cs,cs
4908,physics,,stat,cs,math
4909,stat,,stat,stat,stat
4910,cs,,cs,cs,cs
4911,stat,,stat,stat,stat
4912,physics,,physics,physics,physics
4913,math,,math,math,math
4914,physics,,cs,cs,cs
4915,math,,math,stat,math
4916,stat,,stat,cs,math
4917,cs,,cs,cs,cs
4918,cs,,cs,cs,cs
4919,math,,math,math,math
4920,cs,,stat,cs,stat
4921,cs,,cs,cs,cs
4922,physics,,cs,cs,physics
4923,math,,math,math,math
4924,math,,math,math,math
4925,math,,math,math,math
4926,cs,,cs,cs,cs
4927,physics,,physics,physics,physics
4928,cs,,cs,cs,cs
4929,cs,,cs,cs,cs
4930,cs,,cs,cs,cs
4931,math,,stat,math,math
4932,math,,math,math,math
4933,physics,,physics,physics,physics
4934,physics,,physics,physics,physics
4935,math,,math,math,math
4936,math,,math,math,cs
4937,cs,,cs,cs,cs
4938,math,,math,math,math
4939,stat,,stat,cs,stat
4940,physics,,physics,physics,physics
4941,math,,math,math,math
4942,physics,,physics,physics,physics
4943,math,,math,math,math
4944,math,,math,math,math
4945,cs,,cs,cs,cs
4946,math,,math,math,math
4947,math,,math,math,math
4948,cs,,cs,cs,cs
4949,math,,math,physics,math
4950,math,,math,math,math
4951,math,,math,math,math
4952,physics,,physics,physics,physics
4953,physics,,physics,physics,physics
4954,stat,,stat,cs,stat
4955,math,,math,math,math
4956,math,,math,math,math
4957,physics,,physics,physics,physics
4958,physics,,physics,physics,physics
4959,physics,,physics,physics,physics
4960,cs,,stat,cs,cs
4961,stat,,stat,stat,stat
4962,cs,,cs,cs,cs
4963,stat,,cs,cs,cs
4964,stat,,stat,stat,stat
4965,math,,math,math,math
4966,stat,,stat,stat,stat
4967,physics,,cs,physics,physics
4968,cs,,stat,stat,stat
4969,math,,math,math,math
4970,cs,,math,math,cs
4971,math,,math,math,math
4972,cs,,cs,cs,cs
4973,cs,,cs,cs,cs
4974,cs,,cs,cs,cs
4975,cs,,cs,cs,cs
4976,cs,,cs,cs,cs
4977,math,,math,math,math
4978,math,,math,math,math
4979,math,,math,math,math
4980,cs,,cs,cs,cs
4981,stat,,stat,stat,stat
4982,cs,,cs,cs,cs
4983,cs,,cs,cs,cs
4984,cs,,math,cs,cs
4985,physics,,physics,physics,physics
4986,physics,,stat,physics,physics
4987,physics,,physics,physics,physics
4988,cs,,stat,cs,cs
4989,cs,,cs,cs,cs
4990,stat,,stat,cs,stat
4991,math,,math,math,math
4992,stat,,stat,stat,stat
4993,physics,,physics,physics,physics
4994,stat,,math,math,math
4995,math,,math,math,math
4996,math,,math,math,math
4997,stat,,stat,cs,stat
4998,stat,,stat,cs,stat
4999,math,,cs,math,math
5000,cs,,cs,cs,cs
5001,cs,,cs,cs,cs
5002,math,,math,math,math
5003,math,,math,math,math
5004,cs,,cs,cs,cs
5005,math,,math,math,math
5006,math,,math,math,math
5007,math,,math,math,math
5008,math,,math,math,math
5009,stat,,stat,stat,stat
5010,physics,,physics,physics,physics
5011,math,,math,math,math
5012,stat,,stat,stat,stat
5013,physics,,physics,physics,physics
5014,math,,math,math,math
5015,cs,,cs,cs,cs
5016,cs,,stat,cs,cs
5017,stat,,math,physics,stat
5018,physics,,stat,stat,stat
5019,stat,,stat,stat,stat
5020,physics,,physics,physics,physics
5021,math,,math,math,math
5022,stat,,stat,stat,stat
5023,cs,,cs,cs,cs
5024,cs,,cs,cs,cs
5025,cs,,cs,cs,cs
5026,cs,,stat,stat,stat
5027,physics,,physics,physics,physics
5028,physics,,physics,physics,physics
5029,math,,math,math,math
5030,math,,math,math,math
5031,stat,,cs,cs,cs
5032,math,,math,math,math
5033,cs,,cs,cs,cs
5034,cs,,cs,cs,cs
5035,cs,,cs,cs,cs
5036,math,,math,math,math
5037,physics,,physics,physics,physics
5038,math,,math,math,math
5039,math,,math,math,math
5040,math,,math,math,math
5041,physics,,physics,physics,physics
5042,cs,,cs,cs,cs
5043,cs,,cs,cs,cs
5044,math,,math,math,math
5045,stat,,stat,stat,stat
5046,math,,math,math,math
5047,stat,,stat,stat,stat
5048,cs,,stat,stat,cs
5049,cs,,math,cs,cs
5050,stat,,physics,physics,physics
5051,stat,,stat,stat,stat
5052,cs,,cs,cs,cs
5053,cs,,stat,cs,cs
5054,stat,,stat,cs,stat
5055,physics,,physics,physics,physics
5056,math,,math,math,math
5057,math,,math,math,math
5058,cs,,cs,cs,cs
5059,cs,,cs,cs,cs
5060,physics,,physics,physics,physics
5061,stat,,stat,math,math
5062,physics,,physics,physics,physics
5063,cs,,cs,cs,cs
5064,cs,,cs,cs,cs
5065,cs,,cs,cs,cs
5066,cs,,cs,cs,cs
5067,cs,,cs,cs,cs
5068,physics,,physics,physics,physics
5069,physics,,physics,physics,physics
5070,math,,cs,cs,math
5071,cs,,cs,cs,cs
5072,physics,,cs,cs,cs
5073,cs,,cs,cs,cs
5074,physics,,physics,physics,physics
5075,stat,,cs,cs,cs
5076,physics,,physics,physics,physics
5077,math,,math,math,math
5078,cs,,cs,cs,cs
5079,physics,,physics,physics,physics
5080,stat,,math,math,stat
5081,stat,,stat,stat,stat
5082,stat,,stat,stat,stat
5083,math,,math,math,math
5084,cs,,cs,math,cs
5085,cs,,cs,cs,cs
5086,cs,,cs,cs,cs
5087,physics,,physics,physics,physics
5088,math,,math,math,math
5089,cs,,cs,cs,cs
5090,physics,,stat,physics,physics
5091,physics,,physics,physics,physics
5092,stat,,cs,cs,stat
5093,math,,math,math,math
5094,physics,,physics,physics,physics
5095,stat,,stat,stat,stat
5096,math,,math,math,math
5097,physics,,physics,physics,physics
5098,cs,,stat,cs,cs
5099,cs,,cs,cs,cs
5100,physics,,physics,physics,physics
5101,math,,math,math,math
5102,physics,,physics,physics,physics
5103,cs,,cs,cs,cs
5104,math,,math,math,math
5105,cs,,cs,cs,cs
5106,physics,,physics,physics,physics
5107,physics,,physics,physics,physics
5108,physics,,physics,physics,cs
5109,cs,,cs,cs,cs
5110,math,,math,math,cs
5111,cs,,cs,cs,cs
5112,physics,,physics,physics,physics
5113,math,,math,math,math
5114,math,,cs,cs,math
5115,physics,,physics,physics,physics
5116,stat,,stat,cs,stat
5117,stat,,stat,physics,cs
5118,math,,math,math,math
5119,math,,math,math,math
5120,physics,,cs,physics,stat
5121,physics,,physics,physics,physics
5122,cs,,cs,cs,cs
5123,stat,,cs,cs,cs
5124,math,,math,math,math
5125,cs,,cs,cs,cs
5126,math,,math,math,math
5127,cs,,stat,cs,cs
5128,cs,,cs,cs,cs
5129,physics,,physics,cs,physics
5130,physics,,math,physics,math
5131,math,,math,math,math
5132,math,,cs,math,cs
5133,stat,,cs,cs,cs
5134,cs,,cs,math,cs
5135,math,,math,math,math
5136,stat,,stat,cs,cs
5137,cs,,stat,cs,cs
5138,cs,,stat,cs,cs
5139,cs,,cs,cs,cs
5140,math,,math,math,math
5141,math,,math,math,math
5142,math,,math,math,math
5143,stat,,stat,stat,stat
5144,math,,math,math,math
5145,math,,math,math,math
5146,math,,math,math,math
5147,math,,math,math,math
5148,math,,math,math,math
5149,cs,,cs,cs,cs
5150,stat,,stat,math,stat
5151,cs,,cs,cs,cs
5152,math,,math,math,math
5153,cs,,cs,cs,cs
5154,cs,,cs,cs,cs
5155,physics,,physics,physics,physics
5156,stat,,stat,stat,stat
5157,cs,,stat,cs,cs
5158,stat,,stat,stat,stat
5159,math,,math,math,math
5160,cs,,stat,cs,stat
5161,math,,math,math,math
5162,stat,,stat,stat,stat
5163,stat,,cs,cs,stat
5164,math,,math,math,math
5165,cs,,cs,cs,cs
5166,math,,math,math,math
5167,physics,,physics,physics,physics
5168,cs,,stat,cs,cs
5169,cs,,cs,cs,cs
5170,cs,,stat,cs,cs
5171,cs,,cs,cs,cs
5172,math,,math,math,math
5173,stat,,stat,cs,cs
5174,math,,math,math,math
5175,math,,math,math,math
5176,cs,,math,math,math
5177,math,,math,math,math
5178,cs,,stat,stat,cs
5179,math,,math,math,math
5180,stat,,stat,stat,stat
5181,math,,math,math,math
5182,cs,,stat,stat,stat
5183,stat,,stat,math,stat
5184,math,,math,math,math
5185,cs,,cs,cs,cs
5186,math,,math,math,math
5187,cs,,stat,stat,stat
5188,stat,,stat,stat,stat
5189,cs,,cs,cs,cs
5190,math,,math,math,math
5191,physics,,cs,physics,physics
5192,cs,,stat,cs,cs
5193,stat,,stat,physics,stat
5194,cs,,cs,cs,cs
5195,cs,,stat,stat,stat
5196,physics,,physics,physics,physics
5197,cs,,cs,cs,cs
5198,math,,math,math,math
5199,math,,math,math,math
5200,stat,,stat,stat,stat
5201,cs,,cs,cs,cs
5202,physics,,physics,physics,physics
5203,cs,,stat,cs,cs
5204,cs,,stat,stat,cs
5205,cs,,cs,physics,cs
5206,cs,,cs,cs,cs
5207,math,,math,math,math
5208,cs,,cs,physics,cs
5209,cs,,math,math,math
5210,physics,,physics,physics,physics
5211,cs,,cs,cs,cs
5212,cs,,cs,cs,cs
5213,stat,,stat,cs,stat
5214,math,,math,math,math
5215,physics,,physics,physics,physics
5216,math,,math,math,math
5217,math,,math,math,math
5218,stat,,stat,stat,stat
5219,cs,,cs,math,cs
5220,math,,math,math,math
5221,physics,,physics,physics,physics
5222,cs,,cs,stat,cs
5223,cs,,cs,cs,cs
5224,math,,math,math,math
5225,math,,math,math,math
5226,stat,,stat,stat,stat
5227,cs,,cs,cs,cs
5228,physics,,physics,physics,physics
5229,stat,,stat,cs,stat
5230,cs,,cs,cs,cs
5231,cs,,cs,cs,cs
5232,stat,,stat,math,stat
5233,cs,,cs,cs,cs
5234,math,,math,math,math
5235,stat,,stat,stat,stat
5236,physics,,physics,physics,physics
5237,math,,math,math,math
5238,stat,,stat,stat,stat
5239,math,,math,math,math
5240,math,,math,math,math
5241,math,,math,math,math
5242,math,,math,math,math
5243,cs,,cs,cs,cs
5244,physics,,physics,physics,physics
5245,math,,math,math,math
5246,cs,,cs,cs,cs
5247,math,,stat,stat,stat
5248,math,,math,math,math
5249,physics,,physics,physics,physics
5250,cs,,cs,cs,cs
5251,cs,,cs,cs,cs
5252,stat,,stat,stat,stat
5253,math,,math,math,math
5254,cs,,stat,stat,stat
5255,physics,,physics,physics,physics
5256,math,,math,math,math
5257,math,,math,math,math
5258,cs,,cs,cs,cs
5259,cs,,cs,stat,cs
5260,physics,,physics,physics,physics
5261,stat,,stat,stat,stat
5262,cs,,stat,cs,cs
5263,cs,,cs,cs,cs
5264,cs,,cs,cs,cs
5265,stat,,stat,cs,cs
5266,cs,,cs,cs,cs
5267,cs,,stat,cs,cs
5268,math,,stat,math,math
5269,cs,,cs,stat,cs
5270,stat,,stat,stat,stat
5271,math,,math,math,math
5272,math,,math,math,math
5273,math,,math,math,cs
5274,math,,math,math,math
5275,cs,,cs,cs,cs
5276,stat,,stat,cs,stat
5277,physics,,physics,physics,physics
5278,stat,,stat,stat,stat
5279,math,,math,math,math
5280,stat,,stat,cs,stat
5281,cs,,cs,cs,cs
5282,stat,,math,stat,stat
5283,math,,math,math,math
5284,cs,,cs,cs,cs
5285,physics,,physics,physics,physics
5286,cs,,cs,cs,cs
5287,cs,,cs,cs,cs
5288,math,,math,math,math
5289,cs,,cs,cs,cs
5290,cs,,cs,cs,cs
5291,cs,,cs,cs,cs
5292,cs,,cs,cs,cs
5293,physics,,cs,cs,physics
5294,math,,math,cs,math
5295,cs,,cs,cs,cs
5296,math,,math,math,math
5297,cs,,cs,cs,cs
5298,math,,math,math,math
5299,cs,,cs,cs,cs
5300,math,,cs,math,math
5301,cs,,cs,cs,cs
5302,cs,,cs,cs,cs
5303,math,,math,math,math
5304,physics,,physics,physics,physics
5305,physics,,physics,physics,physics
5306,cs,,cs,cs,cs
5307,cs,,math,math,cs
5308,physics,,physics,physics,physics
5309,math,,math,math,math
5310,physics,,physics,physics,physics
5311,math,,math,math,math
5312,math,,math,math,math
5313,cs,,cs,cs,cs
5314,cs,,cs,cs,cs
5315,cs,,cs,cs,cs
5316,stat,,stat,stat,stat
5317,cs,,cs,cs,cs
5318,stat,,stat,stat,stat
5319,math,,math,math,math
5320,physics,,cs,cs,physics
5321,cs,,cs,cs,cs
5322,cs,,cs,cs,cs
5323,math,,math,math,math
5324,math,,math,math,math
5325,physics,,physics,physics,physics
5326,cs,,cs,cs,cs
5327,cs,,stat,cs,stat
5328,math,,math,math,math
5329,math,,math,math,math
5330,cs,,cs,cs,cs
5331,math,,math,math,math
5332,physics,,physics,physics,physics
5333,math,,math,math,math
5334,physics,,physics,physics,physics
5335,math,,cs,math,cs
5336,physics,,physics,physics,physics
5337,physics,,physics,physics,physics
5338,stat,,stat,stat,stat
5339,physics,,physics,physics,physics
5340,math,,math,math,math
5341,physics,,physics,physics,physics
5342,cs,,stat,stat,stat
5343,math,,math,math,math
5344,math,,math,math,math
5345,math,,math,math,math
5346,cs,,stat,stat,stat
5347,cs,,cs,cs,cs
5348,math,,math,math,math
5349,stat,,stat,stat,stat
5350,physics,,stat,stat,stat
5351,cs,,cs,cs,cs
5352,cs,,cs,cs,cs
5353,stat,,cs,stat,stat
5354,physics,,physics,physics,physics
5355,cs,,cs,cs,cs
5356,stat,,stat,stat,stat
5357,math,,math,math,math
5358,physics,,physics,physics,physics
5359,stat,,stat,stat,stat
5360,cs,,cs,cs,cs
5361,math,,math,math,math
5362,math,,math,math,math
5363,cs,,cs,cs,cs
5364,physics,,physics,physics,physics
5365,stat,,stat,stat,stat
5366,cs,,cs,cs,cs
5367,cs,,cs,cs,cs
5368,cs,,cs,cs,cs
5369,cs,,math,math,math
5370,cs,,cs,cs,cs
5371,cs,,stat,stat,cs
5372,math,,cs,cs,math
5373,stat,,physics,physics,physics
5374,cs,,cs,cs,cs
5375,physics,,physics,cs,physics
5376,cs,,cs,cs,cs
5377,cs,,cs,cs,cs
5378,math,,math,math,math
5379,math,,math,math,math
5380,cs,,cs,cs,cs
5381,math,,math,math,math
5382,stat,,cs,cs,stat
5383,math,,math,math,math
5384,cs,,cs,cs,cs
5385,cs,,cs,cs,cs
5386,stat,,stat,stat,stat
5387,stat,,stat,stat,stat
5388,cs,,cs,cs,cs
5389,math,,math,math,math
5390,math,,math,math,math
5391,cs,,math,math,cs
5392,cs,,cs,cs,cs
5393,cs,,cs,cs,cs
5394,cs,,cs,cs,cs
5395,math,,math,math,math
5396,physics,,cs,physics,physics
5397,cs,,cs,cs,cs
5398,stat,,stat,stat,stat
5399,math,,math,math,math
5400,math,,cs,math,cs
5401,cs,,stat,cs,cs
5402,cs,,cs,cs,cs
5403,physics,,physics,physics,physics
5404,physics,,physics,physics,physics
5405,math,,math,math,math
5406,physics,,physics,physics,physics
5407,physics,,physics,physics,physics
5408,physics,,physics,physics,physics
5409,physics,,physics,physics,physics
5410,physics,,physics,physics,physics
5411,cs,,cs,cs,cs
5412,stat,,stat,math,stat
5413,physics,,physics,physics,physics
5414,cs,,stat,cs,stat
5415,cs,,stat,math,cs
5416,physics,,physics,physics,physics
5417,cs,,cs,cs,cs
5418,stat,,math,math,math
5419,cs,,cs,cs,cs
5420,math,,math,math,math
5421,cs,,cs,cs,cs
5422,physics,,physics,physics,physics
5423,math,,math,math,math
5424,math,,math,math,math
5425,stat,,stat,stat,stat
5426,stat,,stat,stat,stat
5427,math,,math,math,math
5428,physics,,physics,physics,physics
5429,physics,,physics,physics,physics
5430,stat,,stat,stat,stat
5431,physics,,physics,physics,physics
